2024-11-19 	21:50:23 	0193477a-633a-7470-8ac8-d8a531c9b827 	GET  	undefined             	/
2024-11-19 	21:50:23 	0193477a-6347-704e-aed1-d3684f36af3f 	GET  	undefined             	/css/styles.css
2024-11-19 	21:50:23 	0193477a-6348-763e-8787-d3661f009043 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	21:50:23 	0193477a-6348-763e-8787-d6eef5efc3e6 	GET  	undefined             	/scripts/index.js
2024-11-19 	21:50:23 	0193477a-64e3-7099-aa5a-25f66df32189 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:50:23 	0193477a-64ed-7034-8227-d32b973948fa 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:50:23 	0193477a-64f1-702b-bd2c-8eb3ea88d9c2 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:50:23 	0193477a-6515-772f-b97f-21b05c56236e 	GET  	undefined             	/favicon.ico
2024-11-19 	21:50:31 	0193477a-81c7-7069-966f-c6b4c84045d6 	GET  	undefined             	/index.html
2024-11-19 	21:50:31 	0193477a-81cd-732b-b8d3-22bd900bae83 	POST 	http://localhost:8080 	/index.html
2024-11-19 	21:51:57 	0193477b-d21f-753d-97ed-8eb3f6057ff1 	GET  	undefined             	/
2024-11-19 	21:51:57 	0193477b-d226-72c1-b28b-29cca80a232c 	GET  	undefined             	/css/styles.css
2024-11-19 	21:51:57 	0193477b-d227-7407-83ee-ad806b2cde24 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	21:51:57 	0193477b-d228-7313-a360-2b8ee6fa5167 	GET  	undefined             	/scripts/index.js
2024-11-19 	21:51:57 	0193477b-d241-77b9-a793-4b5553bce6fc 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:51:59 	0193477b-dbb5-734a-99db-c0a1758343c1 	GET  	undefined             	/index.html
2024-11-19 	21:51:59 	0193477b-dbba-7509-ba63-46f67d03d9cb 	POST 	http://localhost:8080 	/index.html
2024-11-19 	21:52:26 	0193477c-434a-7504-a147-77e195da4e40 	GET  	undefined             	/
2024-11-19 	21:52:26 	0193477c-4350-723c-9a20-82f1df3637a8 	GET  	undefined             	/css/styles.css
2024-11-19 	21:52:26 	0193477c-4351-7428-a5c3-e4c57a832788 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	21:52:26 	0193477c-4352-73aa-b53f-6b6f020a8a6f 	GET  	undefined             	/scripts/index.js
2024-11-19 	21:52:26 	0193477c-4383-74dd-8ad1-cbcfe2d7aaf5 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:52:28 	0193477c-4bf6-7165-b232-f2a35c9895c5 	GET  	undefined             	/index.html
2024-11-19 	21:52:28 	0193477c-4bfe-7299-b0c3-d49b2418a3f6 	POST 	http://localhost:8080 	/index.html
2024-11-19 	21:54:06 	0193477d-ca68-7539-8f54-218403257197 	GET  	undefined             	/
2024-11-19 	21:54:06 	0193477d-ca70-755b-b582-a4fdcf473909 	GET  	undefined             	/css/styles.css
2024-11-19 	21:54:06 	0193477d-ca71-744c-9b96-57be776ccf07 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	21:54:06 	0193477d-ca71-744c-9b96-5a75c72be00b 	GET  	undefined             	/scripts/index.js
2024-11-19 	21:54:06 	0193477d-ca8c-723c-9689-795314fc9c03 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:54:08 	0193477d-d451-76bd-8ee5-92a362f43dd0 	GET  	undefined             	/index.html
2024-11-19 	21:54:08 	0193477d-d458-76e8-8f83-3f45b09ae654 	POST 	http://localhost:8080 	/index.html
2024-11-19 	21:54:54 	0193477e-8818-726c-8efa-4fd96887ee1e 	GET  	undefined             	/index.html
2024-11-19 	21:54:55 	0193477e-8820-7184-8b5a-a08ed0dc81c4 	POST 	http://localhost:8080 	/index.html
2024-11-19 	21:55:32 	0193477f-1930-750c-9127-a7fc444d9522 	GET  	undefined             	/
2024-11-19 	21:55:32 	0193477f-1938-71ab-b51f-0480d628637e 	GET  	undefined             	/css/styles.css
2024-11-19 	21:55:32 	0193477f-1939-70f6-9bf9-b2ffd9015d44 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	21:55:32 	0193477f-1939-70f6-9bf9-b720aa62b072 	GET  	undefined             	/scripts/index.js
2024-11-19 	21:55:32 	0193477f-194f-767a-80c3-55d56503c275 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:55:34 	0193477f-21d7-734a-9a35-331d3c66eeac 	GET  	undefined             	/index.html
2024-11-19 	21:55:34 	0193477f-21dd-71d8-b2a6-9b89683648c3 	POST 	http://localhost:8080 	/index.html
2024-11-19 	21:55:55 	0193477f-7314-753e-baac-9fdb8ffe2c5f 	GET  	undefined             	/
2024-11-19 	21:55:55 	0193477f-731c-721d-aadb-85cae5b691be 	GET  	undefined             	/css/styles.css
2024-11-19 	21:55:55 	0193477f-731d-750b-afa1-f66e709f843b 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	21:55:55 	0193477f-731d-750b-afa1-f9e488ef3ec2 	GET  	undefined             	/scripts/index.js
2024-11-19 	21:55:55 	0193477f-7349-731b-b429-dc7f67881ba7 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:55:57 	0193477f-7cdc-7529-bfa3-cf6bb460e7c9 	GET  	undefined             	/index.html
2024-11-19 	21:55:57 	0193477f-7ce4-77af-b662-e3dd5a452758 	POST 	http://localhost:8080 	/index.html
2024-11-19 	21:55:57 	0193477f-7cf7-745d-ae66-11b666f46dc5 	GET  	undefined             	/css/styles.css
2024-11-19 	21:55:57 	0193477f-7cf8-737f-b13a-1779091b973d 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	21:55:57 	0193477f-7cf8-737f-b13a-1be1f7519ef8 	GET  	undefined             	/scripts/index.js
2024-11-19 	21:55:57 	0193477f-7d0c-711e-a61b-d7d3a8fc0035 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:55:57 	0193477f-7d23-7412-8ab2-7f10bd35a452 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:56:18 	0193477f-cca2-77b9-a4e4-48eb26e94aa5 	GET  	undefined             	/index.html
2024-11-19 	21:56:18 	0193477f-cca9-70f7-9fe4-0eaf9942900b 	POST 	http://localhost:8080 	/index.html
2024-11-19 	21:56:18 	0193477f-ccaf-7128-80fd-60bf500df6dc 	GET  	undefined             	/css/styles.css
2024-11-19 	21:56:18 	0193477f-ccb0-7762-83e6-7e1ae3408ad7 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	21:56:18 	0193477f-ccb0-7762-83e6-808580f2fbee 	GET  	undefined             	/scripts/index.js
2024-11-19 	21:56:18 	0193477f-ccbe-704d-a04d-87955f1ef8b2 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:56:18 	0193477f-ccd3-72f9-bd32-07b4ee5c955a 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:57:24 	01934780-d1d8-771e-bb93-e61eb803772a 	GET  	undefined             	/index.html
2024-11-19 	21:57:24 	01934780-d1e0-7058-b39b-53b6a6ef6730 	POST 	http://localhost:8080 	/index.html
2024-11-19 	21:57:35 	01934780-faeb-7538-affc-41dce3007e24 	GET  	undefined             	/
2024-11-19 	21:57:35 	01934780-faf1-74bc-b392-f453e706c073 	GET  	undefined             	/css/styles.css
2024-11-19 	21:57:35 	01934780-faf2-762f-8599-49f78a093aca 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	21:57:35 	01934780-faf2-762f-8599-4f25c15eb67b 	GET  	undefined             	/scripts/index.js
2024-11-19 	21:57:35 	01934780-fb07-73a9-9705-8e54df6eaa0c 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:57:37 	01934781-0421-778b-86a0-633afa77b745 	GET  	undefined             	/index.html
2024-11-19 	21:57:37 	01934781-0429-77ff-a07b-a90b9bd6073f 	POST 	http://localhost:8080 	/index.html
2024-11-19 	21:57:37 	01934781-0430-777e-a3b3-a31df1c8e053 	GET  	undefined             	/css/styles.css
2024-11-19 	21:57:37 	01934781-0431-76f3-b394-1e079a250cca 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	21:57:37 	01934781-0431-76f3-b394-22ebeddab8d7 	GET  	undefined             	/scripts/index.js
2024-11-19 	21:57:37 	01934781-0445-724c-a2d1-d1d9df2de12c 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	21:57:37 	01934781-0458-77cd-92e6-13b563a4ac1c 	GET  	undefined             	/videos/cool.mp4
